Id,Source,Target,Type,Weight
1035,37,54,Undirected,795
1036,37,57,Undirected,17981
1037,37,58,Undirected,270
1038,37,59,Undirected,201
1039,37,63,Undirected,558
1040,37,64,Undirected,372
1041,37,66,Undirected,11150
1042,37,67,Undirected,168
1043,37,72,Undirected,1080
1044,37,74,Undirected,1880
1045,37,79,Undirected,3333
1046,37,85,Undirected,3449
1047,37,93,Undirected,1580
1048,37,94,Undirected,8342
1049,37,96,Undirected,1142
1050,37,98,Undirected,653
1051,37,99,Undirected,1384
1052,37,103,Undirected,196
1053,37,105,Undirected,532
1054,37,108,Undirected,2954
1055,37,109,Undirected,8007
1056,37,110,Undirected,175
1057,37,112,Undirected,5005
1058,37,113,Undirected,10381
1059,37,114,Undirected,7517
1060,37,115,Undirected,490
